Rank,Ticker,Title,Category,Volume
340,KXMEASLES,Measles cases,Science and Technology,2347511
341,KXREACTOR,US grants license for new nuclear reactor,Science and Technology,1042289
342,KXAISPIKE,AI capability spike,Science and Technology,837435
343,KXOAIAGI,OpenAI achieves AGI,Science and Technology,574372
344,KXMOON,NASA lands on the moon,Science and Technology,319233
345,KXINTERSTELLAR,Interstellar object,Science and Technology,288643
346,KXAILEGISLATION,AI regulation,Politics,237817
347,KXTESLAOPTIMUS,Tesla Optimus sale,Companies,225802
348,KXBESTLLMCHINA,Chinese LLM best,Science and Technology,212702
349,KXLLAMA5,LLAMA%5,Science and Technology,156867
350,KXGPTCOST,GPT cost,Science and Technology,142940
351,KXGROK,Grok,Science and Technology,124682
352,KXNEWGLENN,New Glenn,Science and Technology,114495
353,KXAVGMEASLESDJT,Measles during Trump admin,Science and Technology,103770
354,KXCRITICALITY,Nuclear power criticality,Science and Technology,96645
355,KXMOONMAN,Manned mission to the Moon,Science and Technology,88242
356,KXFDAAPPROVALPSYCHEDELIC,FDA APPROVAL PSYCHEDELIC,Science and Technology,84044
357,KXCLAUDE5,Claude 5 released,Science and Technology,75685
358,KXMETEOR,Major meteor strike,Science and Technology,74910
359,KXMILLENNIUM,Millennium Prize,Science and Technology,60915
360,KXOAIHARDWARE,What hardware will openAI/Jony Ive launch,Science and Technology,54949
361,KXMUSKBLUESKY,Musk on Bluesky,Science and Technology,53005
362,KXSPACEXMARS,SpaceX Mars,Science and Technology,51871
363,KXNYTOAI,New York Times wins OpenAI lawsuit,Science and Technology,45598
364,KXUSTESTSREADING,US Test scores in Reading,Science and Technology,38378
365,KXUSTESTSMATH,US Test scores in Math,Science and Technology,37314
366,KXROBOTMARS,Humanoid robot on Mars,Science and Technology,36547
367,KXBLUESPACEX,Blue Origin SpaceX moon,Science and Technology,35515
368,KXSTARSHIPMARS,Starship launch to Mars,Companies,32604
369,KXFREEIVF,Free IVF,Science and Technology,29122
370,KXAIPAUSE,AI research pause,Science and Technology,28819
371,KXSTARSHIPDOCK,Starships dock,Science and Technology,28157
372,KXPOLIOELIM,Wild polio eliminated,Science and Technology,25623
373,KXFUSION,Nuclear fusion,Science and Technology,24560
374,KXMACCELL,Mac cell connectivity,Science and Technology,23022
375,KXEVSHARE,EV market share,Climate and Weather,21433
376,KXQUANTUM,Quantum,Science and Technology,19990
377,KXAAPLPRICEFOLD,FOLDABLE IPHONE PRICE,Science and Technology,17154
378,KXFIELDS,Fields Medal recipients,Science and Technology,14165
379,KXOAISCREEN,OpenAI screen,Science and Technology,14139
380,KXCOLONIZEMARS,Colonize Mars,Science and Technology,12683
381,KXHLS,HLS,Science and Technology,8611
382,KXMARSVRAIL,Mars CA rail,Science and Technology,6861
383,KXFDATYPE1DIABETES,Type 1 diabetes cure,Science and Technology,5442
384,KXOAIDAMAGE,OpenAI damages,Science and Technology,4783
385,KXDATACENTER,Data center nuclear,Science and Technology,4300
386,KXAINEURALESE,AI neuralese recurrence,Science and Technology,3892
387,KXCO2LEVEL,CO2 level,Science and Technology,3733
388,KXFEDCHAIRNOM,Fed Chair nominee,Politics,201698517
389,KXPRESNOMD,Democratic Primary winner,Politics,56018132
390,KXTRUMPMENTIONB,Trump Mention B,Mentions,39595139
391,SENATEAZ,Arizona Senate race,Politics,35505885
392,POWER,Party power,Politics,28581425
393,KXPRESNOMR,Republican Primary winner,Politics,16386414
394,KXEPSTEIN,Epstein documents,Politics,11218611
395,KXEOWEEK,EO this week?,Politics,11127190
396,KXCABOUT,Next Cabinet memeber out,Politics,10323326
397,KXTRUMPPARDON,Trump pardons,Politics,10100848
398,CONTROLH,House winner,Politics,9075324
399,HOUSECA13,House CA 13,Politics,8716048
400,KXSTARMERMENTIONB,Kier Starmer,Mentions,7589837
401,KXLEADERSOUT,World leaders out this year?,Politics,6390206
402,KXGREENLAND,Greenland purchase,Politics,6083557
403,KXCONGRESSMENTION,Congress Mention,Mentions,5873623
404,KXFTNMENTION,Face The Nation,Mentions,5734411
405,SENATENV,Nevada Senate race,Politics,5435312
406,KXLEAVEWALZ,Tim Walz out as Governor of Minnesota?,Politics,5241730
407,KXMJSCHEDULE,MJ schedule,Politics,5210861
408,SENATETX,Texas Senate race,Politics,5166750
409,KXSENATETXD,Texas Democratic Senate nominee,Politics,4924926
410,KXAPRPOTUS,President RCP approval rating this week,Politics,4085061
411,KXDOED,DOE eliminated,Politics,4047307
412,KXGOLDCARDS,Gold cards sold,Politics,4009355
413,SENATEPA,Pennsylvania Senate race,Politics,3919438
414,KXVENEZUELALEADER,Who will be the head of state of Venezuela on date?,Politics,3684499
415,KXTRUMPOUT27,Trump out as President?,Politics,3555819
416,CONTROLS,Senate winner,Politics,3527526
417,KXMRBEASTMENTION,What Will Mr Beast say in his next video,Mentions,3292644
418,KXGOVCA,California Governor's race,Politics,3176293
419,KXGREENTERRITORY,Greenland acquisition,Politics,3174734
420,KXGOVTSHUTLENGTH,How long will the next government shutdown last?,Politics,3139106
421,HOUSECA45,House California 48th,Politics,3067142
422,KXTARIFFCHECKS,Will Americans receive tariff dividends in 2025?,Politics,2889852
423,KXLAGODAYS,Mar-a-Lago trips,Politics,2878133
424,KXGAMBLINGREPEAL,Gambling Repeal,Politics,2795567
425,SENATEOH,Ohio Senate race,Politics,2705927
426,KXLEAVELISACOOK,Will lisa cook leave office,Politics,2383752
427,KXACAEXT,ACA Credit extension,Politics,2141123
428,KXDHSFUND,When will Congress fund DHS again?,Politics,2123014
429,KXSNLMENTION,SNL Mention,Mentions,2112702
430,KXSENATETXR,Texas Republican Senate nominee,Politics,2032207
431,KXGOVFLNOMR,Florida Governor Republican nominee,Politics,1931742
432,KXSENATEMED,MED,Politics,1816513
433,KXIMPEACH,President impeached,Politics,1774443
434,KXWHVISIT,White House visitors,Politics,1746705
435,KXWALZMENTION,Tim Walz,Mentions,1642409
436,SENATENE,Nebraska Senate race,Politics,1592088
437,KXARREST,ARRESTS,Politics,1515287
438,SENATEWI,Wisconsin Senate race,Politics,1479560
439,KXINSURRECTION,Insurrection,Politics,1348389
440,SENATEFL,Florida Senate race,Politics,1330302
